address_id,customer_id,street,city,state,country,zip_code,type
1,1,160 Connie Cliffs,Kerrstad,Nebraska,China,97081,shipping
2,2,1730 Sarah Key,Patriciafort,Maine,United States,90588,shipping
3,2,964 Cortez Shoal,Kruegermouth,North Carolina,Germany,64071,billing
4,3,196 Suzanne Circles,Morganburgh,Massachusetts,India,96393,billing
5,4,6923 Smith Coves,Port Julie,Pennsylvania,Germany,14954,shipping
6,5,47367 Erin Turnpike,Jonathanchester,Wyoming,United Kingdom,34662,billing
7,6,6753 Dougherty Square Suite 095,East Lori,Idaho,Canada,20030,billing
8,6,563 Steven Fork,Dianastad,West Virginia,UAE,59201,shipping
9,7,328 Melanie Circle,North Justinville,California,Egypt,06930,billing
10,8,337 Castro Trail Suite 272,Jensenland,Oregon,France,36967,shipping
11,9,8837 Owens Motorway Apt. 004,Port Brittanyshire,Maine,Brazil,82427,billing
12,10,440 Becker Course,Garyhaven,Missouri,UAE,32954,billing
13,11,519 Smith Land,Davisland,Wisconsin,Canada,85051,billing
14,11,38403 Micheal Run Suite 976,Melanieton,Georgia,Canada,91660,shipping
15,11,4203 Sandra Lock,Port Alanfurt,Missouri,Germany,85478,shipping
16,12,2714 Thomas Extension Apt. 715,Tuckerside,South Dakota,Australia,37816,billing
17,12,644 Gonzales Junction,Sarahfurt,Tennessee,China,35126,shipping
18,12,871 English View Suite 799,Howardshire,Louisiana,Australia,09483,shipping
19,13,643 Walton Roads,Davidville,Arizona,UAE,30324,billing
20,14,03967 Coffey Street,North Dawnton,Arizona,United Kingdom,06226,billing
21,15,5673 Alexis Manor,East Jessicaview,Vermont,UAE,37505,billing
22,16,28126 Russell Isle Suite 876,New Monicaburgh,Mississippi,India,89667,billing
23,17,26666 Harris Ridges Apt. 284,Macdonaldside,Indiana,Saudi Arabia,49861,shipping
24,18,467 Boyd Knoll,Andersonport,Massachusetts,UAE,80532,shipping
25,19,12002 Carol River,Moniqueville,Tennessee,Canada,62498,shipping
