customer_id,first_name,last_name,email,phone_number,gender,birth_date,join_date,country,city,zip_code
1,Mason,Fuller,daniel26@hotmail.com,(930)646-1438,M,1999-08-21,2023-07-26,France,South Tylerberg,91009
2,Shane,Kelly,anthony42@gmail.com,1499611778,F,1971-08-08,2023-11-24,Germany,Jasonton,95043
3,Manuel,James,richard37@yahoo.com,001-312-524-5870x1311,M,1953-12-17,2024-08-07,United Kingdom,Davidbury,87930
4,Christina,Thomas,durhamrobin@yahoo.com,001-256-273-9643x31612,M,1949-09-20,2025-06-12,Egypt,New Robert,70432
5,Christian,Neal,fisherlorraine@gmail.com,115-685-4026,F,2000-08-23,2023-03-29,Germany,New Blaketown,94317
6,Jennifer,Jackson,qmiller@yahoo.com,544-300-7457x7741,F,1993-10-27,2023-12-15,India,Underwoodstad,13644
7,Dana,Todd,rjohnston@yahoo.com,526.106.8965x53264,F,1983-06-29,2023-11-11,United Kingdom,Lake Jennaland,24177
8,Paul,Green,jenniferperkins@hotmail.com,191.899.3819x8792,M,1956-04-06,2024-06-19,UAE,Aaronhaven,10201
9,Jesus,Garner,vrogers@gmail.com,313.197.4931x3527,M,1995-09-26,2024-07-09,Australia,Port Laurie,45417
10,Jenny,Wood,oneillvalerie@gmail.com,350-334-6074,F,1990-01-17,2024-06-22,Egypt,Nguyenport,85137
11,Ethan,Fletcher,kathryn65@gmail.com,001-656-996-3874x477,F,1955-01-11,2023-09-05,Germany,Christophermouth,98053
12,Kelly,Horton,tiffanyalexander@hotmail.com,441.084.3971x182,F,1997-08-28,2022-12-10,Brazil,East Emilyview,05111
13,Nicole,White,pmoran@hotmail.com,884.587.9579x71149,F,1955-08-08,2024-08-27,China,Robertton,49728
14,Margaret,Duncan,qweaver@hotmail.com,420.032.6503x05241,M,1956-04-14,2023-11-13,China,North Jessica,53847
15,Zachary,Walker,jross@hotmail.com,001-767-621-3545,F,1977-03-15,2022-12-31,Egypt,Jenniferville,45648
16,Sydney,Sims,isaac37@hotmail.com,134.241.4718,M,1988-08-27,2024-10-04,Brazil,Martinland,63458
17,Timothy,Olsen,oyoung@gmail.com,+1-049-619-6519x66271,F,1968-07-06,2024-03-14,Canada,Williamschester,41974
