customer_sk,customer_id,first_name,last_name,email,phone_number,gender,birth_date_key,join_date_key,address_id,street,city,state,country,zip_code,address_effective_date_key,address_termination_date_key,is_active,entry_date_key
1,1,Mason,Fuller,daniel26@hotmail.com,(930)646-1438,M,19990821,20230726,1,160 Connie Cliffs,Kerrstad,Nebraska,China,97081,2025-09-24,,1,20250924
2,2,Shane,Kelly,anthony42@gmail.com,1499611778,F,19710808,20231124,2,1730 Sarah Key,Patriciafort,Maine,United States,90588,2025-09-24,,1,20250924
3,3,Manuel,James,richard37@yahoo.com,001-312-524-5870x1311,M,19531217,20240807,3,196 Suzanne Circles,Morganburgh,Massachusetts,India,96393,2025-09-24,,1,20250924
4,4,Christina,Thomas,durhamrobin@yahoo.com,001-256-273-9643x31612,M,19490920,20250612,4,6923 Smith Coves,Port Julie,Pennsylvania,Germany,14954,2025-09-24,,1,20250924
5,5,Christian,Neal,fisherlorraine@gmail.com,115-685-4026,F,20000823,20230329,5,47367 Erin Turnpike,Jonathanchester,Wyoming,United Kingdom,34662,2025-09-24,,1,20250924
6,6,Jennifer,Jackson,qmiller@yahoo.com,544-300-7457x7741,F,19931027,20231215,6,6753 Dougherty Square Suite 095,East Lori,Idaho,Canada,20030,2025-09-24,,1,20250924
7,7,Dana,Todd,rjohnston@yahoo.com,526.106.8965x53264,F,19830629,20231111,7,328 Melanie Circle,North Justinville,California,Egypt,6930,2025-09-24,,1,20250924
8,8,Paul,Green,jenniferperkins@hotmail.com,191.899.3819x8792,M,19560406,20240619,8,337 Castro Trail Suite 272,Jensenland,Oregon,France,36967,2025-09-24,,1,20250924
9,9,Jesus,Garner,vrogers@gmail.com,313.197.4931x3527,M,19950926,20240709,9,8837 Owens Motorway Apt. 004,Port Brittanyshire,Maine,Brazil,82427,2025-09-24,,1,20250924
10,10,Jenny,Wood,oneillvalerie@gmail.com,350-334-6074,F,19900117,20240622,10,440 Becker Course,Garyhaven,Missouri,UAE,32954,2025-09-24,,1,20250924
11,11,Ethan,Fletcher,kathryn65@gmail.com,001-656-996-3874x477,F,19550111,20230905,11,519 Smith Land,Davisland,Wisconsin,Canada,85051,2025-09-24,,1,20250924
12,12,Kelly,Horton,tiffanyalexander@hotmail.com,441.084.3971x182,F,19970828,20221210,12,2714 Thomas Extension Apt. 715,Tuckerside,South Dakota,Australia,37816,2025-09-24,,1,20250924
13,13,Nicole,White,pmoran@hotmail.com,884.587.9579x71149,F,19550808,20240827,13,643 Walton Roads,Davidville,Arizona,UAE,30324,2025-09-24,,1,20250924
14,14,Margaret,Duncan,qweaver@hotmail.com,420.032.6503x05241,M,19560414,20231113,14,03967 Coffey Street,North Dawnton,Arizona,United Kingdom,6226,2025-09-24,,1,20250924
15,15,Zachary,Walker,jross@hotmail.com,001-767-621-3545,F,19770315,20221231,15,5673 Alexis Manor,East Jessicaview,Vermont,UAE,37505,2025-09-24,,1,20250924
16,16,Sydney,Sims,isaac37@hotmail.com,134.241.4718,M,19880827,20241004,16,28126 Russell Isle Suite 876,New Monicaburgh,Mississippi,India,89667,2025-09-24,,1,20250924
17,17,Timothy,Olsen,oyoung@gmail.com,+1-049-619-6519x66271,F,19680706,20240314,17,26666 Harris Ridges Apt. 284,Macdonaldside,Indiana,Saudi Arabia,49861,2025-09-24,,1,20250924
18,18,Jeffrey,Houston,georgegonzales@yahoo.com,(445)278-4300,M,19640821,20250415,18,467 Boyd Knoll,Andersonport,Massachusetts,UAE,80532,2025-09-24,,1,20250924
19,19,Trevor,Bass,thomaswatson@hotmail.com,854.576.5309x2464,M,19630901,20221014,19,12002 Carol River,Moniqueville,Tennessee,Canada,62498,2025-09-24,,1,20250924
20,20,David,Taylor,travis60@gmail.com,(807)100-2458,F,20020412,20241214,20,72950 Taylor Union Suite 795,Port Julie,New Hampshire,Egypt,36174,2025-09-24,,1,20250924
21,21,Sara,Salazar,yboyd@hotmail.com,(817)386-8165x223,F,19720505,20221112,21,340 Thomas Green,New Melissabury,Delaware,Brazil,72857,2025-09-24,,1,20250924
22,22,Mark,Anderson,brian67@gmail.com,(662)810-7677,F,20000218,20240806,22,368 Ariel Highway Suite 069,East Gary,Texas,Egypt,22896,2025-09-24,,1,20250924
23,23,Zachary,Lucero,johnramirez@hotmail.com,736.518.8491x9866,M,19550323,20230810,23,94673 Glenn Common,Port Ashley,Maine,France,48764,2025-09-24,,1,20250924
24,24,Valerie,White,slam@hotmail.com,001-450-514-9048x735,F,19981005,20250416,24,9455 Wright Villages,Johnsonville,Iowa,Brazil,16761,2025-09-24,,1,20250924
25,25,James,Carter,chasethomas@yahoo.com,+1-769-380-5145x386,F,19931117,20250327,25,30367 Wilson Isle Apt. 356,West Cherylhaven,South Dakota,Saudi Arabia,75932,2025-09-24,,1,20250924
26,26,Stacey,Jimenez,sherry52@gmail.com,(148)944-1399,M,19881022,20240418,26,59223 John Crossing,Annettechester,Minnesota,Germany,80736,2025-09-24,,1,20250924
27,27,Angela,Hamilton,bcarey@hotmail.com,001-938-214-5287,F,20040706,20241130,27,21371 Maxwell Stream,Alvareztown,Wyoming,United States,49364,2025-09-24,,1,20250924
28,28,Chelsea,Mitchell,susan93@hotmail.com,(547)192-7054x87487,M,19520321,20240220,28,57437 Mendoza Trail,South Michaelside,Iowa,Germany,44971,2025-09-24,,1,20250924
